날짜,NAV,지수,추적오차율
2024-12-09,5560.59,73.11,0.73
2024-12-10,5557.59,73.48,0.73
2024-12-11,5588.22,73.78,0.72
2024-12-12,5605.44,73.25,0.73
2024-12-13,5556.11,73.13,0.0
