날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2024-02-14,6300.78,6330,6350,6265,6300,3378,21226050,0.0
2024-02-15,6229.06,6265,6265,6175,6190,16591,102702340,0.0
2024-02-16,6126.01,6155,6180,6115,6125,9962,61002220,0.0
2024-02-19,6142.17,6175,6175,6105,6120,5342,32708200,0.0
2024-02-20,6143.75,6190,6190,6120,6145,4077,25023205,0.0
2024-02-21,6191.44,6205,6205,6165,6170,4861,30017430,0.0
2024-02-22,6121.93,6150,6150,6090,6090,5099,31142340,0.0
2024-02-23,6082.19,6100,6120,6050,6100,7279,44236795,0.0
2024-02-26,6011.65,6045,6060,6000,6020,6219,37463610,0.0
2024-02-27,6080.0,6090,6105,6060,6100,4888,29756470,0.0
2024-02-28,6121.44,6100,6140,6100,6110,3231,19753210,0.0
2024-02-29,6140.55,6155,6155,6105,6140,3432,21077420,0.0
2024-03-04,6031.16,6070,6070,6025,6070,13015,78826830,0.0
2024-03-05,6061.15,6070,6095,6055,6055,3266,19844490,0.0
2024-03-06,6011.64,6055,6055,6010,6010,6928,41728620,0.0
2024-03-07,6020.52,6050,6085,6020,6085,5583,33796455,0.0
2024-03-08,6090.83,6075,6130,6065,6120,4693,28597295,0.0
2024-03-11,6143.38,6160,6160,6115,6140,4017,24670775,0.0
2024-03-12,6200.46,6200,6215,6165,6180,8676,53809130,0.0
2024-03-13,6214.13,6245,6245,6185,6200,5303,32903160,0.0
2024-03-14,6211.14,6200,6220,6180,6195,8013,49652330,0.0
2024-03-15,6155.94,6190,6190,6140,6170,2181,13426345,0.0
2024-03-18,6179.25,6190,6220,6175,6185,2156,13352535,0.0
2024-03-19,6197.28,6215,6215,6155,6175,4358,26903470,0.0
2024-03-20,6211.48,6170,6215,6170,6185,7505,46465235,0.0
2024-03-21,6228.42,6210,6270,6210,6255,9666,60423225,0.0
2024-03-22,6261.66,6275,6285,6225,6245,7193,45012980,0.0
2024-03-25,6241.47,6280,6280,6225,6250,5526,34551780,0.0
2024-03-26,6266.19,6250,6290,6250,6255,9266,58017425,0.0
2024-03-27,6212.7,6225,6225,6170,6185,8817,54547295,0.0
2024-03-28,6177.84,6205,6205,6155,6170,4980,30768580,0.0
2024-03-29,6278.1,6215,6285,6200,6265,5869,36513890,0.0
2024-04-01,6281.74,6290,6290,6260,6275,5116,32109520,0.0
2024-04-02,6256.53,6275,6275,6230,6265,3923,24524410,0.0
2024-04-03,6173.68,6235,6235,6170,6185,3275,20258080,0.0
2024-04-04,6215.13,6260,6260,6210,6240,5968,37277160,0.0
2024-04-05,6230.32,6240,6290,6240,6250,3958,24754240,0.0
2024-04-08,6235.15,6275,6275,6205,6235,2978,18566045,0.0
2024-04-09,6224.36,6235,6240,6200,6210,12942,80502625,0.0
2024-04-11,6163.14,6180,6195,6135,6140,9984,61445170,0.0
2024-04-12,6097.65,6115,6120,5750,6070,27500,166777775,0.0
2024-04-15,6138.53,6125,6135,6110,6115,10770,65894575,0.0
2024-04-16,6089.11,6105,6120,6090,6090,7788,47553425,0.0
2024-04-17,6038.18,6070,6070,6045,6045,2842,17216660,0.0
2024-04-18,6004.03,6010,6035,6000,6010,5264,31644125,0.0
2024-04-19,5978.6,5985,6080,5950,6035,5663,33952340,79.52
2024-04-22,6058.37,6090,6090,6065,6075,3427,20825020,80.83
2024-04-23,6161.73,6135,6160,6105,6150,4550,28008470,81.49
2024-04-24,6207.11,6200,6235,6175,6210,6771,42077510,81.62
2024-04-25,6217.88,6215,6260,6205,6260,6317,39397230,81.75
2024-04-26,6229.57,6240,6245,6220,6245,5041,31432450,81.66
2024-04-29,6220.2,6220,6260,6205,6240,48241,300845360,81.7
2024-04-30,6222.91,6250,6250,6195,6205,8625,53758295,80.84
